video_id,url,title,channel_name,reason
EcB_a4xpseY,https://www.youtube.com/watch?v=EcB_a4xpseY,"On 9/11, the Entire World Trade Center Was Turned into a Tesla Electrical Circuit",The Solari Report | Catherine Austin Fitts,caption_download_failed
-_lKAWllYKs,https://www.youtube.com/watch?v=-_lKAWllYKs,There Is a Better Way of Providing Healthcare than Managing Symptoms,The Solari Report | Catherine Austin Fitts,caption_download_failed
4t6o_sBGuaU,https://www.youtube.com/watch?v=4t6o_sBGuaU,Nurse Advocates Provide Healthcare the Way It Was Meant to Be,The Solari Report | Catherine Austin Fitts,caption_download_failed
-B0a3XR-rQM,https://www.youtube.com/watch?v=-B0a3XR-rQM,"Are the Deep State Buying Bunkers? They Must Know That Sooner or Later, the Pitchforks Will Come Out",The Solari Report | Catherine Austin Fitts,caption_download_failed
LWo92RhcKhc,https://www.youtube.com/watch?v=LWo92RhcKhc,"People Consider Inflation the Number One Issue, but They Don’t Understand It",The Solari Report | Catherine Austin Fitts,caption_download_failed
