source_path,sha256,source_type,processed_at,batch_id,source_label
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\eRQbIpPkxVE.segments.jsonl,bec40b985323735c49cd455816b0cd84c16764e194280bf1bf9d23bfba957851,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\es1SX2TSqz8.segments.jsonl,2a00edc8ecda68c3bb0a7272765aca54a6060e2a780869f0e0c433739b5adb6d,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\eyItREqSFvA.segments.jsonl,5bd20a53db41db3171df925814fa21d3727338afc7686581bdd013b12a5bf478,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\FXNfNrtGHlo.segments.jsonl,a0be4f11b3546d84a33a0012e43bee002567e4ee36427b04da07b51d4d06871b,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\gARqk3nMoGc.segments.jsonl,1bb70adc275d93cc386e5e7374ec14542c9a6c32af8fa7d425df2160b66b4b80,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\H0v8c7WingM.segments.jsonl,0fec99e1e1ddd8bb80d2bc0df90946f319432cb629a661c7f4be4325b4f519cd,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\hMSD8_AvyAM.segments.jsonl,ae417f872288af91cd199ff9b47a2567564525eec56bc2b1bdd5bcdde1dec22a,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\hxQGwThmCD8.segments.jsonl,90a5227f28e6488b857aeb33cce71e8d4653a63d30e84ed95a28305c2f05d238,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\IERDRFLdgbw.segments.jsonl,a59b6ad459e37c993d6336d10d687d8379cbddd4d98f2742262208135c0cdae1,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\ilzuEH2Enr4.segments.jsonl,0f23cf927de355f6f53c9edaab937a499457c735a2a151a95fcbba1bbef4f205,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\INWRgXjwPXk.segments.jsonl,706c2efab224df1b8721c5825badb77c63a98efe6b278b94f780aad33e03d15c,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\j4rItIYZV_o.segments.jsonl,5f8eccfd226e31dd5626c7dd095c9ac69deb4ad5a236f18af47dcdb1a3872656,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\JXo9mjpc2Wg.segments.jsonl,7fae7390adb3950c82f32ba2b18bcd7ea54fafac4787111a88b808ead98f80ec,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\KiRtjIh2kjc.segments.jsonl,c7b388cb8aafe5bfd7575a6fc9a390b36758d5332c90448ac17165d4f2982362,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\KKxQfBk1zBY.segments.jsonl,decda40d0a2742ebc72362c83af3c759081fcfe057fd88a489ba8e8061a86e1f,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\LCbpnzlLKg8.segments.jsonl,8ed4372783e0389e2414a3c8f5c9e925840dddf75456e23d00597faf3a0e82e1,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\LTWifAkVVDg.segments.jsonl,05869c19cbfd324c3652566a5113e8789416fa64c130fb7179e43a3b346126b1,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\m50hk1fyOYs.segments.jsonl,9caad829515a45e4ba094c2276b01d91c61407b7043b8a68f3a2d66ef9b19055,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\MaTz-usR3uo.segments.jsonl,d77b451ca84bc35a272ad8ae2c41fab331a3f1f4bdf528cab851f8602e07b6d9,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\mD_aE7ZCMoo.segments.jsonl,3b566139dc811c0a12926b85cf1e06798b137e976199efd5ddf06c22aa5666a8,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\MGnJEb4sXwM.segments.jsonl,29f35961334f33e0d4fc86ff4f3072dda16accb94fd16b8465766f9b11df4e82,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\mq7GSzwaGBw.segments.jsonl,b7c6860f3be94c75bee86499e1ce257a19cf5d6835d51e256c4e61cf62a40b84,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\MztMjj6LxXk.segments.jsonl,b96477b17fe01ac3c52e2efbb3cf8ce117b5c76b5b3d6ada165793047e5fba99,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\Nx-vggrpYNw.segments.jsonl,b8b4c4ad0cba3a96d9412605d13def95bd13b28454ddefed9ed233717cb7dbf5,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\oc8B5AqvkUE.segments.jsonl,ab250f4eaa622576175f45685a23f71a9ac2d8d1290bc712c4d48f3076a91b3d,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\OfkOHFgjZek.segments.jsonl,8a61d4300f3d56f640e72b4522def2ccf86e55daceef292b779f85e3a1e2e22d,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\oGWf3g8iYLA.segments.jsonl,e126626c3833e648693122ac99e43d8318b5f5a1d3745011959894f57143ab28,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
C:\Users\cypher\Desktop\doomandgloom\research\youtube\YT001\normalized\OnEOcaUnBg0.segments.jsonl,52cbd106d1d7a6e3db3e2e7b4ef4999e540f7fdeace2e45c6d108cea81b9d8d7,youtube_caption,2026-09-20T07:12:12.872129+00:00,20260920T071212Z_REBUILD,rebuild_all
